user_id,tenant_label,match_rank,match_user_id,match_tenant_label,compatibility_score,explanation_short,explanation_long
1,Tenant_001,1,145,Tenant_145,85.71,"High compatibility driven by Cleanliness, Noise tolerance and Sleep schedule.","Tenant_001 matches well with Tenant_145 (score 85.71%). The strongest alignment is in Cleanliness, Noise tolerance and Sleep schedule, where their behavioural preferences are closely aligned."
1,Tenant_001,2,108,Tenant_108,85.48,"High compatibility driven by Cleanliness, Sleep schedule and Privacy need.","Tenant_001 matches well with Tenant_108 (score 85.48%). The strongest alignment is in Cleanliness, Sleep schedule and Privacy need, where their behavioural preferences are closely aligned."
1,Tenant_001,3,69,Tenant_069,82.86,"High compatibility driven by Cleanliness, Privacy need and Sociability.","Tenant_001 matches well with Tenant_069 (score 82.86%). The strongest alignment is in Cleanliness, Privacy need and Sociability, where their behavioural preferences are closely aligned."
1,Tenant_001,4,212,Tenant_212,82.14,"High compatibility driven by Cleanliness, Sociability and Noise tolerance.","Tenant_001 matches well with Tenant_212 (score 82.14%). The strongest alignment is in Cleanliness, Sociability and Noise tolerance, where their behavioural preferences are closely aligned."
1,Tenant_001,5,265,Tenant_265,81.9,"High compatibility driven by Cleanliness, Sleep schedule and Privacy need.","Tenant_001 matches well with Tenant_265 (score 81.9%). The strongest alignment is in Cleanliness, Sleep schedule and Privacy need, where their behavioural preferences are closely aligned."
2,Tenant_002,1,133,Tenant_133,86.9,"High compatibility driven by Sleep schedule, Routine structure and Sociability.","Tenant_002 matches well with Tenant_133 (score 86.9%). The strongest alignment is in Sleep schedule, Routine structure and Sociability, where their behavioural preferences are closely aligned."
2,Tenant_002,2,157,Tenant_157,85.0,"High compatibility driven by Noise tolerance, Sociability and Guest tolerance.","Tenant_002 matches well with Tenant_157 (score 85.0%). The strongest alignment is in Noise tolerance, Sociability and Guest tolerance, where their behavioural preferences are closely aligned."
2,Tenant_002,3,258,Tenant_258,84.29,"High compatibility driven by Cleanliness, Noise tolerance and Sleep schedule.","Tenant_002 matches well with Tenant_258 (score 84.29%). The strongest alignment is in Cleanliness, Noise tolerance and Sleep schedule, where their behavioural preferences are closely aligned."
2,Tenant_002,4,296,Tenant_296,82.86,"High compatibility driven by Cleanliness, Noise tolerance and Routine structure.","Tenant_002 matches well with Tenant_296 (score 82.86%). The strongest alignment is in Cleanliness, Noise tolerance and Routine structure, where their behavioural preferences are closely aligned."
2,Tenant_002,5,247,Tenant_247,81.43,"High compatibility driven by Noise tolerance, Sleep schedule and Privacy need.","Tenant_002 matches well with Tenant_247 (score 81.43%). The strongest alignment is in Noise tolerance, Sleep schedule and Privacy need, where their behavioural preferences are closely aligned."
